Date (month/day/year)	Time (UTC)	Latitude (degrees)	Longitude (degrees)
10/25/2009	10:02:04 PM	47.67012	-122.31963
10/25/2009	10:02:09 PM	47.67035	-122.31992
10/25/2009	10:03:41 PM	47.67023	-122.31907
10/26/2009	12:09:53 AM	47.66263	-122.31317
10/26/2009	12:09:58 AM	47.66258	-122.31315
10/26/2009	12:10:03 AM	47.66252	-122.31313
10/26/2009	12:10:08 AM	47.66247	-122.31313
10/26/2009	12:10:13 AM	47.66238	-122.31310
10/26/2009	12:10:18 AM	47.66232	-122.31310
10/26/2009	12:10:23 AM	47.66223	-122.31308
10/26/2009	12:10:28 AM	47.66217	-122.31310
10/26/2009	12:10:33 AM	47.66208	-122.31308
10/26/2009	12:10:38 AM	47.66202	-122.31305
10/26/2009	12:10:43 AM	47.66193	-122.31303
10/26/2009	12:10:48 AM	47.66185	-122.31303
10/26/2009	12:10:53 AM	47.66177	-122.31303
10/26/2009	12:10:58 AM	47.66165	-122.31308
10/26/2009	12:11:03 AM	47.66158	-122.31307
10/26/2009	12:11:08 AM	47.66153	-122.31303
10/26/2009	12:11:13 AM	47.66147	-122.31302
10/26/2009	12:11:18 AM	47.66140	-122.31298
10/26/2009	12:11:23 AM	47.66133	-122.31302
10/26/2009	12:11:28 AM	47.66132	-122.31310
10/26/2009	12:11:33 AM	47.66132	-122.31320
10/26/2009	12:11:38 AM	47.66132	-122.31330
10/26/2009	12:11:43 AM	47.66132	-122.31337
10/26/2009	12:11:48 AM	47.66127	-122.31357
10/26/2009	12:11:53 AM	47.66123	-122.31365
10/26/2009	12:11:58 AM	47.66125	-122.31377
10/26/2009	12:12:05 AM	47.66125	-122.31387
10/26/2009	12:12:10 AM	47.66123	-122.31393
10/26/2009	12:12:15 AM	47.66125	-122.31393
10/26/2009	12:12:20 AM	47.66127	-122.31397
10/26/2009	12:12:25 AM	47.66127	-122.31398
10/26/2009	12:12:33 AM	47.66112	-122.31410
10/26/2009	12:12:38 AM	47.66110	-122.31413
10/26/2009	12:12:43 AM	47.66108	-122.31413
10/26/2009	12:12:48 AM	47.66108	-122.31412
10/26/2009	12:12:53 AM	47.66112	-122.31410
10/26/2009	12:12:58 AM	47.66117	-122.31403
10/26/2009	12:13:03 AM	47.66118	-122.31393
10/26/2009	12:13:08 AM	47.66120	-122.31382
10/26/2009	12:13:13 AM	47.66123	-122.31372
10/26/2009	12:13:18 AM	47.66125	-122.31362
10/26/2009	12:13:23 AM	47.66122	-122.31357
10/26/2009	12:13:28 AM	47.66120	-122.31363
10/26/2009	12:13:33 AM	47.66120	-122.31368
10/26/2009	12:13:38 AM	47.66123	-122.31372
10/26/2009	12:13:43 AM	47.66125	-122.31377
10/26/2009	12:13:48 AM	47.66125	-122.31382
10/26/2009	12:13:53 AM	47.66123	-122.31387
10/26/2009	12:13:58 AM	47.66122	-122.31387
10/26/2009	12:14:03 AM	47.66118	-122.31390
10/26/2009	12:14:08 AM	47.66117	-122.31390
10/26/2009	12:14:13 AM	47.66117	-122.31390
10/26/2009	12:14:18 AM	47.66117	-122.31390
10/26/2009	12:14:23 AM	47.66115	-122.31392
10/26/2009	12:14:28 AM	47.66113	-122.31393
10/26/2009	12:14:33 AM	47.66113	-122.31397
10/26/2009	12:14:38 AM	47.66113	-122.31397
10/26/2009	12:14:43 AM	47.66113	-122.31397
10/26/2009	12:14:48 AM	47.66113	-122.31397
10/26/2009	12:14:53 AM	47.66113	-122.31397
10/26/2009	12:14:58 AM	47.66115	-122.31398
10/26/2009	12:15:03 AM	47.66117	-122.31402
10/26/2009	12:15:08 AM	47.66120	-122.31402
10/26/2009	12:15:13 AM	47.66118	-122.31403
10/26/2009	12:15:18 AM	47.66118	-122.31403
10/26/2009	12:15:23 AM	47.66117	-122.31403
10/26/2009	12:15:28 AM	47.66117	-122.31403
10/26/2009	12:15:33 AM	47.66113	-122.31402
10/26/2009	12:15:38 AM	47.66112	-122.31402
10/26/2009	12:15:43 AM	47.66113	-122.31402
10/26/2009	12:15:48 AM	47.66113	-122.31402
10/26/2009	12:15:53 AM	47.66115	-122.31403
10/26/2009	12:15:58 AM	47.66117	-122.31405
10/26/2009	12:16:03 AM	47.66115	-122.31405
10/26/2009	12:16:08 AM	47.66117	-122.31403
10/26/2009	12:16:13 AM	47.66117	-122.31402
10/26/2009	12:16:18 AM	47.66118	-122.31402
10/26/2009	12:16:23 AM	47.66118	-122.31400
10/26/2009	12:16:28 AM	47.66115	-122.31400
10/26/2009	12:16:33 AM	47.66113	-122.31400
